ps_id	mim_id	common_hpo_id	from_root	ic
PS105400	205100	HP_0000301	3	0.4171
PS105400	205100	HP_0000708	4	0.24807
PS105400	205100	HP_0000759	4	0.26256
PS105400	205100	HP_0001257	6	0.28482
PS105400	205100	HP_0001260	6	0.33692
PS105400	205100	HP_0001285	7	0.64241
PS105400	205100	HP_0001332	5	0.3692
PS105400	205100	HP_0001347	6	0.31852
PS105400	205100	HP_0001421	5	0.62193
PS105400	205100	HP_0002015	4	0.39678
PS105400	205100	HP_0002061	7	0.46268
PS105400	205100	HP_0002064	7	0.59294
PS105400	205100	HP_0002127	6	0.70814
PS105400	205100	HP_0002167	5	0.28751
PS105400	205100	HP_0002200	4	0.74193
PS105400	205100	HP_0002307	5	0.60052
PS105400	205100	HP_0002366	5	0.70814
PS105400	205100	HP_0002425	6	0.83717
PS105400	205100	HP_0002450	5	0.54531
PS105400	205100	HP_0002464	7	0.87096
PS105400	205100	HP_0002493	5	0.23605
PS105400	205100	HP_0003202	4	0.32139
PS105400	205100	HP_0003444	6	0.78955
PS105400	205100	HP_0003445	5	0.62673
PS105400	205100	HP_0003487	7	0.401
PS105400	205100	HP_0003693	5	0.44066
PS105400	205100	HP_0003781	8	0.58582
PS105400	205100	HP_0006986	7	0.77145
PS105400	205100	HP_0007149	6	0.68193
PS105400	205100	HP_0007256	6	0.37422
PS105400	205100	HP_0007354	7	0.62193
PS105400	205100	HP_0007373	6	0.58932
